,zipcode_of_incident,entry_timestamp,dispatch_timestamp,dispatch_time
161,94127,2018-01-24 15:15:49,2018-01-24 15:16:06,17.0
467,94127,2018-01-24 15:15:49,2018-01-24 15:16:06,17.0
888,94127,2018-01-23 22:42:39,2018-01-23 22:46:24,225.0
899,94127,2018-01-23 22:42:39,2018-01-23 22:48:56,377.0
929,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
970,94127,2018-01-23 22:42:39,2018-01-23 22:59:33,1014.0
974,94127,2018-01-23 22:42:39,2018-01-23 23:02:13,1174.0
975,94127,2018-01-23 22:42:39,2018-01-23 22:49:27,408.0
979,94127,2018-01-23 22:42:39,2018-01-23 23:13:32,1853.0
1040,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
1041,94127,2018-01-23 22:42:39,2018-01-23 23:02:13,1174.0
1081,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
1095,94127,2018-01-23 22:42:39,2018-01-23 23:02:13,1174.0
1101,94127,2018-01-23 22:42:39,2018-01-23 22:46:24,225.0
1116,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
1135,94127,2018-01-23 22:42:39,2018-01-23 22:48:56,377.0
1170,94127,2018-01-23 22:42:39,2018-01-24 01:24:04,9685.0
1177,94127,2018-01-23 22:42:39,2018-01-23 23:02:13,1174.0
1185,94127,2018-01-23 22:42:39,2018-01-23 23:02:13,1174.0
1187,94127,2018-01-23 22:42:39,2018-01-24 11:15:41,45182.0
1189,94127,2018-01-23 22:42:39,2018-01-23 22:48:56,377.0
1198,94127,2018-01-23 22:42:39,2018-01-23 22:48:56,377.0
1216,94127,2018-01-23 22:42:39,2018-01-23 22:48:56,377.0
1246,94127,2018-01-23 22:42:39,2018-01-23 22:48:56,377.0
1254,94127,2018-01-23 22:42:39,2018-01-23 22:48:56,377.0
1269,94127,2018-01-23 22:42:39,2018-01-23 23:02:13,1174.0
1315,94127,2018-01-23 22:42:39,2018-01-24 01:24:04,9685.0
1401,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
1412,94127,2018-01-23 22:42:39,2018-01-23 22:48:56,377.0
1434,94127,2018-01-23 22:42:39,2018-01-24 07:41:35,32336.0
1475,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
1490,94127,2018-01-23 22:42:39,2018-01-24 04:30:54,20895.0
1497,94127,2018-01-23 22:42:39,2018-01-24 04:30:54,20895.0
1577,94127,2018-01-23 22:42:39,2018-01-23 22:50:57,498.0
1588,94127,2018-01-23 22:42:39,2018-01-23 23:07:02,1463.0
1591,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
1613,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
1651,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
1661,94127,2018-01-23 17:06:13,2018-01-23 17:06:22,9.0
1674,94127,2018-01-23 22:42:39,2018-01-23 23:02:13,1174.0
1677,94127,2018-01-23 22:42:39,2018-01-23 22:42:57,18.0
1686,94127,2018-01-23 22:42:39,2018-01-23 23:02:13,1174.0
1689,94127,2018-01-23 22:42:39,2018-01-23 22:48:56,377.0
1905,94127,2018-01-22 16:34:00,2018-01-22 16:34:12,12.0
2076,94127,2018-01-22 19:19:50,2018-01-22 19:20:06,16.0
2490,94127,2018-01-22 19:19:50,2018-01-22 19:20:06,16.0
3740,94127,2018-01-20 17:11:04,2018-01-20 17:11:19,15.0
3809,94127,2018-01-20 14:35:10,2018-01-20 14:35:30,20.0
3821,94127,2018-01-20 14:35:10,2018-01-20 14:35:30,20.0
4966,94127,2018-01-19 16:07:28,2018-01-19 16:08:07,39.0
4982,94127,2018-01-19 16:07:28,2018-01-19 16:08:07,39.0
5168,94127,2018-01-19 00:00:12,2018-01-19 00:00:25,13.0
5195,94127,2018-01-19 00:00:12,2018-01-19 00:00:25,13.0
5989,94127,2018-01-17 14:57:44,2018-01-17 14:57:56,12.0
6102,94127,2018-01-17 12:19:45,2018-01-17 12:19:52,7.0
6272,94127,2018-01-17 14:57:44,2018-01-17 14:57:56,12.0
6352,94127,2018-01-17 16:14:18,2018-01-17 16:14:59,41.0
6438,94127,2018-01-17 12:19:45,2018-01-17 12:19:52,7.0
6543,94127,2018-01-17 12:19:45,2018-01-17 12:21:02,77.0
6548,94127,2018-01-17 14:57:44,2018-01-17 14:57:56,12.0
6792,94127,2018-01-16 21:19:09,2018-01-16 21:19:24,15.0
6984,94127,2018-01-16 19:43:52,2018-01-16 19:44:37,45.0
7101,94127,2018-01-16 21:19:09,2018-01-16 21:19:24,15.0
7378,94127,2018-01-16 10:53:54,2018-01-16 10:55:42,108.0
7583,94127,2018-01-15 12:56:06,2018-01-15 12:58:12,126.0
7736,94127,2018-01-15 08:00:49,2018-01-15 08:01:06,17.0
7813,94127,2018-01-15 13:24:51,2018-01-15 13:25:35,44.0
7882,94127,2018-01-15 13:24:51,2018-01-15 13:25:35,44.0
7897,94127,2018-01-15 20:32:39,2018-01-15 20:33:05,26.0
8071,94127,2018-01-15 12:56:06,2018-01-15 12:58:12,126.0
8185,94127,2018-01-15 08:00:49,2018-01-15 08:01:06,17.0
8240,94127,2018-01-15 20:32:39,2018-01-15 20:33:05,26.0
9246,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9279,94127,2018-01-13 13:32:10,2018-01-13 13:53:55,1305.0
9316,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9404,94127,2018-01-13 13:32:10,2018-01-13 13:32:48,38.0
9435,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9461,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9554,94127,2018-01-13 23:26:45,2018-01-13 23:27:03,18.0
9647,94127,2018-01-13 23:26:45,2018-01-13 23:27:03,18.0
9649,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9655,94127,2018-01-13 17:44:58,2018-01-13 17:45:41,43.0
9696,94127,2018-01-13 13:32:10,2018-01-13 13:32:48,38.0
9794,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9803,94127,2018-01-13 22:47:47,2018-01-13 22:48:17,30.0
9832,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9880,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9894,94127,2018-01-13 22:47:47,2018-01-13 22:48:17,30.0
9924,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9960,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
